Copyright (C) 2021  Intel Corporation. All rights reserved.
Your use of Intel Corporation's design tools, logic functions 
and other software and tools, and any partner logic 
functions, and any output files from any of the foregoing 
(including device programming or simulation files), and any 
associated documentation or information are expressly subject 
to the terms and conditions of the Intel Program License 
Subscription Agreement, the Intel Quartus Prime License Agreement,
the Intel FPGA IP License Agreement, or other applicable license
agreement, including, without limitation, that your use is for
the sole purpose of programming logic devices manufactured by
Intel and sold by Intel or its authorized distributors.  Please
refer to the applicable agreement for further details, at
https://fpgasoftware.intel.com/eula.

Analysis & Synthesis Resource Utilization by Entity

Compilation Hierarchy Node,Combinational ALUTs,Dedicated Logic Registers,Block Memory Bits,DSP Blocks,Pins,Virtual Pins,Full Hierarchy Name,Entity Name,Library Name
            |alt_sld_fab_alt_sld_fab:alt_sld_fab|,152 (1),104 (8),0,0,0,0,|ghrd_top|sld_hub:auto_hub|alt_sld_fab_with_jtag_input:\instrumentation_fabric_with_node_gen:fabric_gen_new_way:with_jtag_input_gen:instrumentation_fabric|alt_sld_fab:instrumentation_fabric|alt_sld_fab_alt_sld_fab:alt_sld_fab,alt_sld_fab_alt_sld_fab,alt_sld_fab
               |alt_sld_fab_alt_sld_fab_sldfabric:sldfabric|,151 (0),96 (0),0,0,0,0,|ghrd_top|sld_hub:auto_hub|alt_sld_fab_with_jtag_input:\instrumentation_fabric_with_node_gen:fabric_gen_new_way:with_jtag_input_gen:instrumentation_fabric|alt_sld_fab:instrumentation_fabric|alt_sld_fab_alt_sld_fab:alt_sld_fab|alt_sld_fab_alt_sld_fab_sldfabric:sldfabric,alt_sld_fab_alt_sld_fab_sldfabric,alt_sld_fab
                  |sld_jtag_hub:\jtag_hub_gen:real_sld_jtag_hub|,151 (112),96 (67),0,0,0,0,|ghrd_top|sld_hub:auto_hub|alt_sld_fab_with_jtag_input:\instrumentation_fabric_with_node_gen:fabric_gen_new_way:with_jtag_input_gen:instrumentation_fabric|alt_sld_fab:instrumentation_fabric|alt_sld_fab_alt_sld_fab:alt_sld_fab|alt_sld_fab_alt_sld_fab_sldfabric:sldfabric|sld_jtag_hub:\jtag_hub_gen:real_sld_jtag_hub,sld_jtag_hub,work
                     |sld_rom_sr:hub_info_reg|,20 (20),10 (10),0,0,0,0,|ghrd_top|sld_hub:auto_hub|alt_sld_fab_with_jtag_input:\instrumentation_fabric_with_node_gen:fabric_gen_new_way:with_jtag_input_gen:instrumentation_fabric|alt_sld_fab:instrumentation_fabric|alt_sld_fab_alt_sld_fab:alt_sld_fab|alt_sld_fab_alt_sld_fab_sldfabric:sldfabric|sld_jtag_hub:\jtag_hub_gen:real_sld_jtag_hub|sld_rom_sr:hub_info_reg,sld_rom_sr,work
                     |sld_shadow_jsm:shadow_jsm|,19 (19),19 (19),0,0,0,0,|ghrd_top|sld_hub:auto_hub|alt_sld_fab_with_jtag_input:\instrumentation_fabric_with_node_gen:fabric_gen_new_way:with_jtag_input_gen:instrumentation_fabric|alt_sld_fab:instrumentation_fabric|alt_sld_fab_alt_sld_fab:alt_sld_fab|alt_sld_fab_alt_sld_fab_sldfabric:sldfabric|sld_jtag_hub:\jtag_hub_gen:real_sld_jtag_hub|sld_shadow_jsm:shadow_jsm,sld_shadow_jsm,altera_sld
   |soc_system:u0|,17322 (0),2714 (0),526336,0,0,0,|ghrd_top|soc_system:u0,soc_system,soc_system
      |altera_reset_controller:rst_controller_001|,0 (0),3 (0),0,0,0,0,|ghrd_top|soc_system:u0|altera_reset_controller:rst_controller_001,altera_reset_controller,soc_system
         |altera_reset_synchronizer:alt_rst_sync_uq1|,0 (0),3 (3),0,0,0,0,|ghrd_top|soc_system:u0|altera_reset_controller:rst_controller_001|altera_reset_synchronizer:alt_rst_sync_uq1,altera_reset_synchronizer,soc_system
      |altera_reset_controller:rst_controller|,6 (5),16 (10),0,0,0,0,|ghrd_top|soc_system:u0|altera_reset_controller:rst_controller,altera_reset_controller,soc_system
         |altera_reset_synchronizer:alt_rst_req_sync_uq1|,1 (1),3 (3),0,0,0,0,|ghrd_top|soc_system:u0|altera_reset_controller:rst_controller|altera_reset_synchronizer:alt_rst_req_sync_uq1,altera_reset_synchronizer,soc_system
         |altera_reset_synchronizer:alt_rst_sync_uq1|,0 (0),3 (3),0,0,0,0,|ghrd_top|soc_system:u0|altera_reset_controller:rst_controller|altera_reset_synchronizer:alt_rst_sync_uq1,altera_reset_synchronizer,soc_system
      |hps:hps_1|,14163 (170),256 (256),0,0,0,0,|ghrd_top|soc_system:u0|hps:hps_1,hps,soc_system
         |simon_top:simon_top_insc|,13993 (0),0 (0),0,0,0,0,|ghrd_top|soc_system:u0|hps:hps_1|simon_top:simon_top_insc,simon_top,work
            |simon_dec:\simon_dec_generate:0:simon_dec_insc|,221 (221),0 (0),0,0,0,0,|ghrd_top|soc_system:u0|hps:hps_1|simon_top:simon_top_insc|simon_dec:\simon_dec_generate:0:simon_dec_insc,simon_dec,work
            |simon_dec:\simon_dec_generate:10:simon_dec_insc|,130 (130),0 (0),0,0,0,0,|ghrd_top|soc_system:u0|hps:hps_1|simon_top:simon_top_insc|simon_dec:\simon_dec_generate:10:simon_dec_insc,simon_dec,work
            |simon_dec:\simon_dec_generate:11:simon_dec_insc|,128 (128),0 (0),0,0,0,0,|ghrd_top|soc_system:u0|hps:hps_1|simon_top:simon_top_insc|simon_dec:\simon_dec_generate:11:simon_dec_insc,simon_dec,work
            |simon_dec:\simon_dec_generate:12:simon_dec_insc|,129 (129),0 (0),0,0,0,0,|ghrd_top|soc_system:u0|hps:hps_1|simon_top:simon_top_insc|simon_dec:\simon_dec_generate:12:simon_dec_insc,simon_dec,work
            |simon_dec:\simon_dec_generate:13:simon_dec_insc|,139 (139),0 (0),0,0,0,0,|ghrd_top|soc_system:u0|hps:hps_1|simon_top:simon_top_insc|simon_dec:\simon_dec_generate:13:simon_dec_insc,simon_dec,work
            |simon_dec:\simon_dec_generate:14:simon_dec_insc|,132 (132),0 (0),0,0,0,0,|ghrd_top|soc_system:u0|hps:hps_1|simon_top:simon_top_insc|simon_dec:\simon_dec_generate:14:simon_dec_insc,simon_dec,work
            |simon_dec:\simon_dec_generate:15:simon_dec_insc|,130 (130),0 (0),0,0,0,0,|ghrd_top|soc_system:u0|hps:hps_1|simon_top:simon_top_insc|simon_dec:\simon_dec_generate:15:simon_dec_insc,simon_dec,work
            |simon_dec:\simon_dec_generate:16:simon_dec_insc|,130 (130),0 (0),0,0,0,0,|ghrd_top|soc_system:u0|hps:hps_1|simon_top:simon_top_insc|simon_dec:\simon_dec_generate:16:simon_dec_insc,simon_dec,work
            |simon_dec:\simon_dec_generate:17:simon_dec_insc|,130 (130),0 (0),0,0,0,0,|ghrd_top|soc_system:u0|hps:hps_1|simon_top:simon_top_insc|simon_dec:\simon_dec_generate:17:simon_dec_insc,simon_dec,work
            |simon_dec:\simon_dec_generate:18:simon_dec_insc|,133 (133),0 (0),0,0,0,0,|ghrd_top|soc_system:u0|hps:hps_1|simon_top:simon_top_insc|simon_dec:\simon_dec_generate:18:simon_dec_insc,simon_dec,work
            |simon_dec:\simon_dec_generate:19:simon_dec_insc|,133 (133),0 (0),0,0,0,0,|ghrd_top|soc_system:u0|hps:hps_1|simon_top:simon_top_insc|simon_dec:\simon_dec_generate:19:simon_dec_insc,simon_dec,work
            |simon_dec:\simon_dec_generate:1:simon_dec_insc|,183 (183),0 (0),0,0,0,0,|ghrd_top|soc_system:u0|hps:hps_1|simon_top:simon_top_insc|simon_dec:\simon_dec_generate:1:simon_dec_insc,simon_dec,work
            |simon_dec:\simon_dec_generate:20:simon_dec_insc|,135 (135),0 (0),0,0,0,0,|ghrd_top|soc_system:u0|hps:hps_1|simon_top:simon_top_insc|simon_dec:\simon_dec_generate:20:simon_dec_insc,simon_dec,work
            |simon_dec:\simon_dec_generate:21:simon_dec_insc|,131 (131),0 (0),0,0,0,0,|ghrd_top|soc_system:u0|hps:hps_1|simon_top:simon_top_insc|simon_dec:\simon_dec_generate:21:simon_dec_insc,simon_dec,work
            |simon_dec:\simon_dec_generate:22:simon_dec_insc|,133 (133),0 (0),0,0,0,0,|ghrd_top|soc_system:u0|hps:hps_1|simon_top:simon_top_insc|simon_dec:\simon_dec_generate:22:simon_dec_insc,simon_dec,work
            |simon_dec:\simon_dec_generate:23:simon_dec_insc|,152 (152),0 (0),0,0,0,0,|ghrd_top|soc_system:u0|hps:hps_1|simon_top:simon_top_insc|simon_dec:\simon_dec_generate:23:simon_dec_insc,simon_dec,work
            |simon_dec:\simon_dec_generate:24:simon_dec_insc|,162 (162),0 (0),0,0,0,0,|ghrd_top|soc_system:u0|hps:hps_1|simon_top:simon_top_insc|simon_dec:\simon_dec_generate:24:simon_dec_insc,simon_dec,work
            |simon_dec:\simon_dec_generate:25:simon_dec_insc|,132 (132),0 (0),0,0,0,0,|ghrd_top|soc_system:u0|hps:hps_1|simon_top:simon_top_insc|simon_dec:\simon_dec_generate:25:simon_dec_insc,simon_dec,work
            |simon_dec:\simon_dec_generate:26:simon_dec_insc|,164 (164),0 (0),0,0,0,0,|ghrd_top|soc_system:u0|hps:hps_1|simon_top:simon_top_insc|simon_dec:\simon_dec_generate:26:simon_dec_insc,simon_dec,work
            |simon_dec:\simon_dec_generate:27:simon_dec_insc|,320 (320),0 (0),0,0,0,0,|ghrd_top|soc_system:u0|hps:hps_1|simon_top:simon_top_insc|simon_dec:\simon_dec_generate:27:simon_dec_insc,simon_dec,work
            |simon_dec:\simon_dec_generate:28:simon_dec_insc|,328 (328),0 (0),0,0,0,0,|ghrd_top|soc_system:u0|hps:hps_1|simon_top:simon_top_insc|simon_dec:\simon_dec_generate:28:simon_dec_insc,simon_dec,work
            |simon_dec:\simon_dec_generate:29:simon_dec_insc|,437 (437),0 (0),0,0,0,0,|ghrd_top|soc_system:u0|hps:hps_1|simon_top:simon_top_insc|simon_dec:\simon_dec_generate:29:simon_dec_insc,simon_dec,work
            |simon_dec:\simon_dec_generate:2:simon_dec_insc|,214 (214),0 (0),0,0,0,0,|ghrd_top|soc_system:u0|hps:hps_1|simon_top:simon_top_insc|simon_dec:\simon_dec_generate:2:simon_dec_insc,simon_dec,work
            |simon_dec:\simon_dec_generate:30:simon_dec_insc|,195 (195),0 (0),0,0,0,0,|ghrd_top|soc_system:u0|hps:hps_1|simon_top:simon_top_insc|simon_dec:\simon_dec_generate:30:simon_dec_insc,simon_dec,work
            |simon_dec:\simon_dec_generate:31:simon_dec_insc|,169 (169),0 (0),0,0,0,0,|ghrd_top|soc_system:u0|hps:hps_1|simon_top:simon_top_insc|simon_dec:\simon_dec_generate:31:simon_dec_insc,simon_dec,work
            |simon_dec:\simon_dec_generate:32:simon_dec_insc|,203 (203),0 (0),0,0,0,0,|ghrd_top|soc_system:u0|hps:hps_1|simon_top:simon_top_insc|simon_dec:\simon_dec_generate:32:simon_dec_insc,simon_dec,work
            |simon_dec:\simon_dec_generate:33:simon_dec_insc|,445 (445),0 (0),0,0,0,0,|ghrd_top|soc_system:u0|hps:hps_1|simon_top:simon_top_insc|simon_dec:\simon_dec_generate:33:simon_dec_insc,simon_dec,work
            |simon_dec:\simon_dec_generate:3:simon_dec_insc|,134 (134),0 (0),0,0,0,0,|ghrd_top|soc_system:u0|hps:hps_1|simon_top:simon_top_insc|simon_dec:\simon_dec_generate:3:simon_dec_insc,simon_dec,work
            |simon_dec:\simon_dec_generate:4:simon_dec_insc|,135 (135),0 (0),0,0,0,0,|ghrd_top|soc_system:u0|hps:hps_1|simon_top:simon_top_insc|simon_dec:\simon_dec_generate:4:simon_dec_insc,simon_dec,work
            |simon_dec:\simon_dec_generate:5:simon_dec_insc|,130 (130),0 (0),0,0,0,0,|ghrd_top|soc_system:u0|hps:hps_1|simon_top:simon_top_insc|simon_dec:\simon_dec_generate:5:simon_dec_insc,simon_dec,work
            |simon_dec:\simon_dec_generate:6:simon_dec_insc|,131 (131),0 (0),0,0,0,0,|ghrd_top|soc_system:u0|hps:hps_1|simon_top:simon_top_insc|simon_dec:\simon_dec_generate:6:simon_dec_insc,simon_dec,work
            |simon_dec:\simon_dec_generate:7:simon_dec_insc|,132 (132),0 (0),0,0,0,0,|ghrd_top|soc_system:u0|hps:hps_1|simon_top:simon_top_insc|simon_dec:\simon_dec_generate:7:simon_dec_insc,simon_dec,work
            |simon_dec:\simon_dec_generate:8:simon_dec_insc|,136 (136),0 (0),0,0,0,0,|ghrd_top|soc_system:u0|hps:hps_1|simon_top:simon_top_insc|simon_dec:\simon_dec_generate:8:simon_dec_insc,simon_dec,work
            |simon_dec:\simon_dec_generate:9:simon_dec_insc|,129 (129),0 (0),0,0,0,0,|ghrd_top|soc_system:u0|hps:hps_1|simon_top:simon_top_insc|simon_dec:\simon_dec_generate:9:simon_dec_insc,simon_dec,work
            |simon_subkey_calc:\sub_key_generate:0:simon_subkey_calc_insc|,197 (197),0 (0),0,0,0,0,|ghrd_top|soc_system:u0|hps:hps_1|simon_top:simon_top_insc|simon_subkey_calc:\sub_key_generate:0:simon_subkey_calc_insc,simon_subkey_calc,work
            |simon_subkey_calc:\sub_key_generate:10:simon_subkey_calc_insc|,373 (373),0 (0),0,0,0,0,|ghrd_top|soc_system:u0|hps:hps_1|simon_top:simon_top_insc|simon_subkey_calc:\sub_key_generate:10:simon_subkey_calc_insc,simon_subkey_calc,work
            |simon_subkey_calc:\sub_key_generate:11:simon_subkey_calc_insc|,233 (233),0 (0),0,0,0,0,|ghrd_top|soc_system:u0|hps:hps_1|simon_top:simon_top_insc|simon_subkey_calc:\sub_key_generate:11:simon_subkey_calc_insc,simon_subkey_calc,work
            |simon_subkey_calc:\sub_key_generate:12:simon_subkey_calc_insc|,156 (156),0 (0),0,0,0,0,|ghrd_top|soc_system:u0|hps:hps_1|simon_top:simon_top_insc|simon_subkey_calc:\sub_key_generate:12:simon_subkey_calc_insc,simon_subkey_calc,work
            |simon_subkey_calc:\sub_key_generate:13:simon_subkey_calc_insc|,264 (264),0 (0),0,0,0,0,|ghrd_top|soc_system:u0|hps:hps_1|simon_top:simon_top_insc|simon_subkey_calc:\sub_key_generate:13:simon_subkey_calc_insc,simon_subkey_calc,work
            |simon_subkey_calc:\sub_key_generate:14:simon_subkey_calc_insc|,251 (251),0 (0),0,0,0,0,|ghrd_top|soc_system:u0|hps:hps_1|simon_top:simon_top_insc|simon_subkey_calc:\sub_key_generate:14:simon_subkey_calc_insc,simon_subkey_calc,work
            |simon_subkey_calc:\sub_key_generate:15:simon_subkey_calc_insc|,347 (347),0 (0),0,0,0,0,|ghrd_top|soc_system:u0|hps:hps_1|simon_top:simon_top_insc|simon_subkey_calc:\sub_key_generate:15:simon_subkey_calc_insc,simon_subkey_calc,work
            |simon_subkey_calc:\sub_key_generate:16:simon_subkey_calc_insc|,256 (256),0 (0),0,0,0,0,|ghrd_top|soc_system:u0|hps:hps_1|simon_top:simon_top_insc|simon_subkey_calc:\sub_key_generate:16:simon_subkey_calc_insc,simon_subkey_calc,work
            |simon_subkey_calc:\sub_key_generate:17:simon_subkey_calc_insc|,142 (142),0 (0),0,0,0,0,|ghrd_top|soc_system:u0|hps:hps_1|simon_top:simon_top_insc|simon_subkey_calc:\sub_key_generate:17:simon_subkey_calc_insc,simon_subkey_calc,work
            |simon_subkey_calc:\sub_key_generate:18:simon_subkey_calc_insc|,237 (237),0 (0),0,0,0,0,|ghrd_top|soc_system:u0|hps:hps_1|simon_top:simon_top_insc|simon_subkey_calc:\sub_key_generate:18:simon_subkey_calc_insc,simon_subkey_calc,work
            |simon_subkey_calc:\sub_key_generate:19:simon_subkey_calc_insc|,211 (211),0 (0),0,0,0,0,|ghrd_top|soc_system:u0|hps:hps_1|simon_top:simon_top_insc|simon_subkey_calc:\sub_key_generate:19:simon_subkey_calc_insc,simon_subkey_calc,work
            |simon_subkey_calc:\sub_key_generate:1:simon_subkey_calc_insc|,200 (200),0 (0),0,0,0,0,|ghrd_top|soc_system:u0|hps:hps_1|simon_top:simon_top_insc|simon_subkey_calc:\sub_key_generate:1:simon_subkey_calc_insc,simon_subkey_calc,work
            |simon_subkey_calc:\sub_key_generate:20:simon_subkey_calc_insc|,375 (375),0 (0),0,0,0,0,|ghrd_top|soc_system:u0|hps:hps_1|simon_top:simon_top_insc|simon_subkey_calc:\sub_key_generate:20:simon_subkey_calc_insc,simon_subkey_calc,work
            |simon_subkey_calc:\sub_key_generate:21:simon_subkey_calc_insc|,259 (259),0 (0),0,0,0,0,|ghrd_top|soc_system:u0|hps:hps_1|simon_top:simon_top_insc|simon_subkey_calc:\sub_key_generate:21:simon_subkey_calc_insc,simon_subkey_calc,work
            |simon_subkey_calc:\sub_key_generate:22:simon_subkey_calc_insc|,142 (142),0 (0),0,0,0,0,|ghrd_top|soc_system:u0|hps:hps_1|simon_top:simon_top_insc|simon_subkey_calc:\sub_key_generate:22:simon_subkey_calc_insc,simon_subkey_calc,work
            |simon_subkey_calc:\sub_key_generate:23:simon_subkey_calc_insc|,245 (245),0 (0),0,0,0,0,|ghrd_top|soc_system:u0|hps:hps_1|simon_top:simon_top_insc|simon_subkey_calc:\sub_key_generate:23:simon_subkey_calc_insc,simon_subkey_calc,work
            |simon_subkey_calc:\sub_key_generate:24:simon_subkey_calc_insc|,203 (203),0 (0),0,0,0,0,|ghrd_top|soc_system:u0|hps:hps_1|simon_top:simon_top_insc|simon_subkey_calc:\sub_key_generate:24:simon_subkey_calc_insc,simon_subkey_calc,work
            |simon_subkey_calc:\sub_key_generate:25:simon_subkey_calc_insc|,362 (362),0 (0),0,0,0,0,|ghrd_top|soc_system:u0|hps:hps_1|simon_top:simon_top_insc|simon_subkey_calc:\sub_key_generate:25:simon_subkey_calc_insc,simon_subkey_calc,work
            |simon_subkey_calc:\sub_key_generate:26:simon_subkey_calc_insc|,239 (239),0 (0),0,0,0,0,|ghrd_top|soc_system:u0|hps:hps_1|simon_top:simon_top_insc|simon_subkey_calc:\sub_key_generate:26:simon_subkey_calc_insc,simon_subkey_calc,work
            |simon_subkey_calc:\sub_key_generate:27:simon_subkey_calc_insc|,162 (162),0 (0),0,0,0,0,|ghrd_top|soc_system:u0|hps:hps_1|simon_top:simon_top_insc|simon_subkey_calc:\sub_key_generate:27:simon_subkey_calc_insc,simon_subkey_calc,work
            |simon_subkey_calc:\sub_key_generate:28:simon_subkey_calc_insc|,220 (220),0 (0),0,0,0,0,|ghrd_top|soc_system:u0|hps:hps_1|simon_top:simon_top_insc|simon_subkey_calc:\sub_key_generate:28:simon_subkey_calc_insc,simon_subkey_calc,work
            |simon_subkey_calc:\sub_key_generate:29:simon_subkey_calc_insc|,227 (227),0 (0),0,0,0,0,|ghrd_top|soc_system:u0|hps:hps_1|simon_top:simon_top_insc|simon_subkey_calc:\sub_key_generate:29:simon_subkey_calc_insc,simon_subkey_calc,work
            |simon_subkey_calc:\sub_key_generate:2:simon_subkey_calc_insc|,208 (208),0 (0),0,0,0,0,|ghrd_top|soc_system:u0|hps:hps_1|simon_top:simon_top_insc|simon_subkey_calc:\sub_key_generate:2:simon_subkey_calc_insc,simon_subkey_calc,work
            |simon_subkey_calc:\sub_key_generate:30:simon_subkey_calc_insc|,379 (379),0 (0),0,0,0,0,|ghrd_top|soc_system:u0|hps:hps_1|simon_top:simon_top_insc|simon_subkey_calc:\sub_key_generate:30:simon_subkey_calc_insc,simon_subkey_calc,work
            |simon_subkey_calc:\sub_key_generate:31:simon_subkey_calc_insc|,195 (195),0 (0),0,0,0,0,|ghrd_top|soc_system:u0|hps:hps_1|simon_top:simon_top_insc|simon_subkey_calc:\sub_key_generate:31:simon_subkey_calc_insc,simon_subkey_calc,work
            |simon_subkey_calc:\sub_key_generate:32:simon_subkey_calc_insc|,151 (151),0 (0),0,0,0,0,|ghrd_top|soc_system:u0|hps:hps_1|simon_top:simon_top_insc|simon_subkey_calc:\sub_key_generate:32:simon_subkey_calc_insc,simon_subkey_calc,work
            |simon_subkey_calc:\sub_key_generate:3:simon_subkey_calc_insc|,219 (219),0 (0),0,0,0,0,|ghrd_top|soc_system:u0|hps:hps_1|simon_top:simon_top_insc|simon_subkey_calc:\sub_key_generate:3:simon_subkey_calc_insc,simon_subkey_calc,work
            |simon_subkey_calc:\sub_key_generate:4:simon_subkey_calc_insc|,261 (261),0 (0),0,0,0,0,|ghrd_top|soc_system:u0|hps:hps_1|simon_top:simon_top_insc|simon_subkey_calc:\sub_key_generate:4:simon_subkey_calc_insc,simon_subkey_calc,work
            |simon_subkey_calc:\sub_key_generate:5:simon_subkey_calc_insc|,258 (258),0 (0),0,0,0,0,|ghrd_top|soc_system:u0|hps:hps_1|simon_top:simon_top_insc|simon_subkey_calc:\sub_key_generate:5:simon_subkey_calc_insc,simon_subkey_calc,work
            |simon_subkey_calc:\sub_key_generate:6:simon_subkey_calc_insc|,224 (224),0 (0),0,0,0,0,|ghrd_top|soc_system:u0|hps:hps_1|simon_top:simon_top_insc|simon_subkey_calc:\sub_key_generate:6:simon_subkey_calc_insc,simon_subkey_calc,work
            |simon_subkey_calc:\sub_key_generate:7:simon_subkey_calc_insc|,165 (165),0 (0),0,0,0,0,|ghrd_top|soc_system:u0|hps:hps_1|simon_top:simon_top_insc|simon_subkey_calc:\sub_key_generate:7:simon_subkey_calc_insc,simon_subkey_calc,work
            |simon_subkey_calc:\sub_key_generate:8:simon_subkey_calc_insc|,272 (272),0 (0),0,0,0,0,|ghrd_top|soc_system:u0|hps:hps_1|simon_top:simon_top_insc|simon_subkey_calc:\sub_key_generate:8:simon_subkey_calc_insc,simon_subkey_calc,work
            |simon_subkey_calc:\sub_key_generate:9:simon_subkey_calc_insc|,395 (395),0 (0),0,0,0,0,|ghrd_top|soc_system:u0|hps:hps_1|simon_top:simon_top_insc|simon_subkey_calc:\sub_key_generate:9:simon_subkey_calc_insc,simon_subkey_calc,work
      |intr_capturer:intr_capturer_0|,3 (3),6 (6),0,0,0,0,|ghrd_top|soc_system:u0|intr_capturer:intr_capturer_0,intr_capturer,soc_system
      |soc_system_button_pio:button_pio|,12 (12),20 (20),0,0,0,0,|ghrd_top|soc_system:u0|soc_system_button_pio:button_pio,soc_system_button_pio,soc_system
      |soc_system_dipsw_pio:dipsw_pio|,27 (27),50 (50),0,0,0,0,|ghrd_top|soc_system:u0|soc_system_dipsw_pio:dipsw_pio,soc_system_dipsw_pio,soc_system
      |soc_system_hps_0:hps_0|,1 (0),36 (0),0,0,0,0,|ghrd_top|soc_system:u0|soc_system_hps_0:hps_0,soc_system_hps_0,soc_system
         |soc_system_hps_0_fpga_interfaces:fpga_interfaces|,0 (0),0 (0),0,0,0,0,|ghrd_top|soc_system:u0|soc_system_hps_0:hps_0|soc_system_hps_0_fpga_interfaces:fpga_interfaces,soc_system_hps_0_fpga_interfaces,soc_system
         |soc_system_hps_0_hps_io:hps_io|,1 (0),36 (0),0,0,0,0,|ghrd_top|soc_system:u0|soc_system_hps_0:hps_0|soc_system_hps_0_hps_io:hps_io,soc_system_hps_0_hps_io,soc_system
            |soc_system_hps_0_hps_io_border:border|,1 (1),36 (0),0,0,0,0,|ghrd_top|soc_system:u0|soc_system_hps_0:hps_0|soc_system_hps_0_hps_io:hps_io|soc_system_hps_0_hps_io_border:border,soc_system_hps_0_hps_io_border,soc_system
               |hps_sdram:hps_sdram_inst|,0 (0),36 (0),0,0,0,0,|ghrd_top|soc_system:u0|soc_system_hps_0:hps_0|soc_system_hps_0_hps_io:hps_io|soc_system_hps_0_hps_io_border:border|hps_sdram:hps_sdram_inst,hps_sdram,soc_system
                  |altera_mem_if_dll_cyclonev:dll|,0 (0),0 (0),0,0,0,0,|ghrd_top|soc_system:u0|soc_system_hps_0:hps_0|soc_system_hps_0_hps_io:hps_io|soc_system_hps_0_hps_io_border:border|hps_sdram:hps_sdram_inst|altera_mem_if_dll_cyclonev:dll,altera_mem_if_dll_cyclonev,soc_system
                  |altera_mem_if_hard_memory_controller_top_cyclonev:c0|,0 (0),0 (0),0,0,0,0,|ghrd_top|soc_system:u0|soc_system_hps_0:hps_0|soc_system_hps_0_hps_io:hps_io|soc_system_hps_0_hps_io_border:border|hps_sdram:hps_sdram_inst|altera_mem_if_hard_memory_controller_top_cyclonev:c0,altera_mem_if_hard_memory_controller_top_cyclonev,soc_system
                  |altera_mem_if_oct_cyclonev:oct|,0 (0),0 (0),0,0,0,0,|ghrd_top|soc_system:u0|soc_system_hps_0:hps_0|soc_system_hps_0_hps_io:hps_io|soc_system_hps_0_hps_io_border:border|hps_sdram:hps_sdram_inst|altera_mem_if_oct_cyclonev:oct,altera_mem_if_oct_cyclonev,soc_system
